stn;time;gre000m0;hto000m0;nto000m0;prestam0;sre000m0;tre200mn;tre200mx;ure200m0;rre150m0;tre200m0
OTL;188810;-;-;-;-;-;-;-;-;120.0;10.0
OTL;188811;-;-;-;-;-;-;-;-;215.0;6.3
OTL;188812;-;-;-;-;-;-;-;-;155.0;2.8
OTL;188901;-;-;-;-;-;-;-;-;76.0;1.9
OTL;188902;-;-;-;-;-;-;-;-;11.0;3.0
OTL;188903;-;-;-;-;-;-;-;-;109.0;6.4
OTL;188904;-;-;-;-;-;-;-;-;325.0;9.8
OTL;188905;-;-;-;-;-;-;-;-;246.0;15.3
OTL;188906;-;-;-;-;-;-;-;-;200.0;19.9
OTL;188907;-;-;-;-;-;-;-;-;252.0;20.9
OTL;188908;-;-;-;-;-;-;-;-;111.0;20.0
OTL;188909;-;-;-;-;-;-;-;-;63.0;16.5
OTL;188910;-;-;-;-;-;-;-;-;853.0;11.4
OTL;188911;-;-;-;-;-;-;-;-;28.0;6.6
OTL;188912;-;-;-;-;-;-;-;-;85.0;1.8
OTL;189001;-;-;-;-;-;-;-;-;45.0;4.1
OTL;189002;-;-;-;-;-;-;-;-;12.0;2.6
OTL;189003;-;-;-;-;-;-;-;-;183.0;7.0
OTL;189004;-;-;-;-;-;-;-;-;294.0;10.8
OTL;189005;-;-;-;-;-;-;-;-;423.0;15.0
OTL;189006;-;-;-;-;-;-;-;-;292.0;19.3
OTL;189007;-;-;-;-;-;-;-;-;250.0;19.3
OTL;189008;-;-;-;-;-;-;-;-;670.0;19.7
OTL;189009;-;-;-;-;-;-;-;-;305.0;16.5
OTL;189010;-;-;-;-;-;-;-;-;14.0;11.1
OTL;189011;-;-;-;-;-;-;-;-;41.0;6.4
OTL;189012;-;-;-;-;-;-;-;-;88.0;0.7
OTL;189101;-;-;-;-;-;-;-;-;1.0;-0.1
OTL;189102;-;-;-;-;-;-;-;-;0.0;3.5
OTL;189103;-;-;-;-;-;-;-;-;262.0;6.3
OTL;189104;-;-;-;-;-;-;-;-;91.0;10.3
OTL;189105;-;-;-;-;-;-;-;-;364.0;13.8
OTL;189106;-;-;-;-;-;-;-;-;100.0;19.0
OTL;189107;-;-;-;-;-;-;-;-;281.0;20.7
OTL;189108;-;-;-;-;-;-;-;-;392.0;18.8
OTL;189109;-;-;-;-;-;-;-;-;127.0;17.6
OTL;189110;-;-;-;-;-;-;-;-;379.0;13.0
OTL;189111;-;-;-;-;-;-;-;-;203.0;6.1
OTL;189112;-;-;-;-;-;-;-;-;48.0;3.5
OTL;189201;-;-;-;-;-;-;-;-;55.0;2.6
OTL;189202;-;-;-;-;-;-;-;-;226.0;4.8
OTL;189203;-;-;-;-;-;-;-;-;117.0;5.6
OTL;189204;-;-;-;-;-;-;-;-;91.0;12.4
OTL;189205;-;-;-;-;-;-;-;-;52.0;16.3
OTL;189206;-;-;-;-;-;-;-;-;204.0;20.2
OTL;189207;-;-;-;-;-;-;-;-;115.0;21.2
OTL;189208;-;-;-;-;-;-;-;-;163.0;21.1
OTL;189209;-;-;-;-;-;-;-;-;193.0;17.9
OTL;189210;-;-;-;-;-;-;-;-;574.0;10.6
OTL;189211;-;-;-;-;-;-;-;-;75.0;6.9
OTL;189212;-;-;-;-;-;-;-;-;2.0;1.7
OTL;189301;-;-;-;-;-;-;-;-;24.0;-0.4
OTL;189302;-;-;-;-;-;-;-;-;69.0;4.0
OTL;189303;-;-;-;-;-;-;-;-;12.0;9.8
OTL;189304;-;-;-;-;-;-;-;-;9.0;14.2
OTL;189305;-;-;-;-;-;-;-;-;69.0;15.8
OTL;189306;-;-;-;-;-;-;-;-;151.0;19.9
OTL;189307;-;-;-;-;-;-;-;-;168.0;20.9
OTL;189308;-;-;-;-;-;-;-;-;9.0;22.0
OTL;189309;-;-;-;-;-;-;-;-;409.0;17.6
OTL;189310;-;-;-;-;-;-;-;-;135.0;13.1
OTL;189311;-;-;-;-;-;-;-;-;65.0;6.9
OTL;189312;-;-;-;-;-;-;-;-;71.0;3.5
OTL;189401;-;-;-;-;-;-;-;-;95.0;1.1
OTL;189402;-;-;-;-;-;-;-;-;0.0;4.1
OTL;189403;-;-;-;-;-;-;-;-;51.0;8.4
OTL;189404;-;-;-;-;-;-;-;-;137.0;13.4
OTL;189405;-;-;-;-;-;-;-;-;271.0;14.1
OTL;189406;-;-;-;-;-;-;-;-;58.0;19.7
OTL;189407;-;-;-;-;-;-;-;-;306.0;21.8
OTL;189408;-;-;-;-;-;-;-;-;45.0;20.5
OTL;189409;-;-;-;-;-;-;-;-;229.0;16.3
OTL;189410;-;-;-;-;-;-;-;-;111.0;11.5
OTL;189411;-;-;-;-;-;-;-;-;142.0;7.7
OTL;189412;-;-;-;-;-;-;-;-;4.0;3.1
OTL;189501;-;-;-;-;-;-;-;-;200.0;0.3
OTL;189502;-;-;-;-;-;-;-;-;17.0;-0.5
OTL;189503;-;-;-;-;-;-;-;-;60.0;6.0
OTL;189504;-;-;-;-;-;-;-;-;87.0;12.1
OTL;189505;-;-;-;-;-;-;-;-;120.0;14.6
OTL;189506;-;-;-;-;-;-;-;-;189.0;18.5
OTL;189507;-;-;-;-;-;-;-;-;162.0;21.9
OTL;189508;-;-;-;-;-;-;-;-;103.0;20.4
OTL;189509;-;-;-;-;-;-;-;-;11.0;20.1
OTL;189510;-;-;-;-;-;-;-;-;188.0;11.9
OTL;189511;-;-;-;-;-;-;-;-;121.0;7.8
OTL;189512;-;-;-;-;-;-;-;-;64.0;3.7
OTL;189601;-;-;-;-;-;-;-;-;2.0;2.2
OTL;189602;-;-;-;-;-;-;-;-;19.0;4.7
OTL;189603;-;-;-;-;-;-;-;-;18.0;10.1
OTL;189604;-;-;-;-;-;-;-;-;58.0;11.4
OTL;189605;-;-;-;-;-;-;-;-;86.0;14.6
OTL;189606;-;-;-;-;-;-;-;-;230.0;18.3
OTL;189607;-;-;-;-;-;-;-;-;245.0;21.4
OTL;189608;-;-;-;-;-;-;-;-;288.0;17.5
OTL;189609;-;-;-;-;-;-;-;-;378.0;15.8
OTL;189610;-;-;-;-;-;-;-;-;727.0;10.4
OTL;189611;-;-;-;-;-;-;-;-;169.0;5.7
OTL;189612;-;-;-;-;-;-;-;-;157.0;2.6
OTL;189701;-;-;-;-;-;-;-;-;225.0;2.8
OTL;189702;-;-;-;-;-;-;-;-;7.0;6.5
OTL;189703;-;-;-;-;-;-;-;-;110.0;9.4
OTL;189704;-;-;-;-;-;-;-;-;118.0;11.5
OTL;189705;-;-;-;-;-;-;-;-;146.0;15.2
OTL;189706;-;-;-;-;-;-;-;-;123.0;20.8
OTL;189707;-;-;-;-;-;-;-;-;108.0;21.9
OTL;189708;-;-;-;-;-;-;-;-;511.0;19.6
OTL;189709;-;-;-;-;-;-;-;-;451.0;15.4
OTL;189710;-;-;-;-;-;-;-;-;82.0;11.3
OTL;189711;-;-;-;-;-;-;-;-;17.0;6.4
OTL;189712;-;-;-;-;-;-;-;-;101.0;3.1
OTL;189801;-;-;-;-;-;-;-;-;60.0;4.0
OTL;189802;-;-;-;-;-;-;-;-;86.0;4.8
OTL;189803;-;-;-;-;-;-;-;-;278.0;6.4
OTL;189804;-;-;-;-;-;-;-;-;225.0;11.2
OTL;189805;-;-;-;-;-;-;-;-;368.0;13.8
OTL;189806;-;-;-;-;-;-;-;-;246.0;17.8
OTL;189807;-;-;-;-;-;-;-;-;43.0;20.7
OTL;189808;-;-;-;-;-;-;-;-;85.0;22.0
OTL;189809;-;-;-;-;-;-;-;-;36.0;20.4
OTL;189810;-;-;-;-;-;-;-;-;266.0;13.3
OTL;189811;-;-;-;-;-;-;-;-;281.0;10.0
OTL;189812;-;-;-;-;-;-;-;-;0.0;5.1
OTL;189901;-;-;-;-;-;-;-;-;91.0;5.5
OTL;189902;-;-;-;-;-;-;-;-;10.0;5.9
OTL;189903;-;-;-;-;-;-;-;-;32.0;8.5
OTL;189904;-;-;-;-;-;-;-;-;188.0;11.5
OTL;189905;-;-;-;-;-;-;-;-;121.0;15.6
OTL;189906;-;-;-;-;-;-;-;-;142.0;19.4
OTL;189907;-;-;-;-;-;-;-;-;98.0;21.3
OTL;189908;-;-;-;-;-;-;-;-;123.0;21.6
OTL;189909;-;-;-;-;-;-;-;-;191.0;17.7
OTL;189910;-;-;-;-;-;-;-;-;35.0;12.5
OTL;189911;-;-;-;-;-;-;-;-;20.0;8.2
OTL;189912;-;-;-;-;-;-;-;-;70.0;3.3
OTL;190001;-;-;-;-;-;-;-;-;102.0;4.7
OTL;190002;-;-;-;-;-;-;-;-;173.0;5.7
OTL;190003;-;-;-;-;-;-;-;-;169.0;5.9
OTL;190004;-;-;-;-;-;-;-;-;32.0;11.9
OTL;190005;-;-;-;-;-;-;-;-;223.0;15.3
OTL;190006;-;-;-;-;-;-;-;-;85.0;20.1
OTL;190007;-;-;-;-;-;-;-;-;130.0;22.4
OTL;190008;-;-;-;-;-;-;-;-;438.0;19.4
OTL;190009;-;-;-;-;-;-;-;-;282.0;18.5
OTL;190010;-;-;-;-;-;-;-;-;46.3;12.8
OTL;190011;-;-;-;-;-;-;-;-;357.0;7.6
OTL;190012;-;-;-;-;-;-;-;-;21.3;5.1
OTL;190101;-;-;-;-;-;-;-;-;0.0;2.3
OTL;190102;-;-;-;-;-;-;-;-;52.0;-0.3
OTL;190103;-;-;-;-;-;-;-;-;315.2;5.3
OTL;190104;-;-;-;-;-;-;-;-;237.3;11.2
OTL;190105;-;-;-;-;-;-;-;-;70.7;15.6
OTL;190106;-;-;-;-;-;-;-;-;307.4;20.7
OTL;190107;-;-;-;-;-;-;-;-;299.1;20.6
