stn;time;gre000m0;hto000m0;nto000m0;prestam0;ure200m0;rre150m0;tre200m0;sre000m0;tre200mn;tre200mx
CHM;189712;-;-;-;-;-;70.0;-0.8;-;-;-
CHM;189801;-;-;-;-;-;11.0;3.1;-;-;-
CHM;189802;-;-;-;-;-;112.0;-2.2;-;-;-
CHM;189803;-;-;-;-;-;62.5;-0.2;-;-;-
CHM;189804;-;-;-;-;-;100.8;5.3;-;-;-
CHM;189805;-;-;-;-;-;123.6;7.3;-;-;-
CHM;189806;-;-;-;-;-;131.5;10.9;-;-;-
CHM;189807;-;-;-;-;-;38.9;12.8;-;-;-
CHM;189808;-;-;-;-;-;32.3;16.9;-;-;-
CHM;189809;-;-;-;-;-;29.0;14.5;-;-;-
CHM;189810;-;-;-;-;-;129.5;8.1;-;-;-
CHM;189811;-;-;-;-;-;96.0;4.6;-;-;-
CHM;189812;-;-;-;-;-;46.9;0.5;-;-;-
CHM;189901;-;-;-;-;-;196.0;0.1;-;-;-
CHM;189902;-;-;-;-;-;30.0;2.4;-;-;-
CHM;189903;-;-;-;-;-;18.0;2.0;-;-;-
CHM;189904;-;-;-;-;-;180.3;3.5;-;-;-
CHM;189905;-;-;-;-;-;64.5;8.0;-;-;-
CHM;189906;-;-;-;-;-;81.7;12.5;-;-;-
CHM;189907;-;-;-;-;-;81.6;14.9;-;-;-
CHM;189908;-;-;-;-;-;47.4;16.1;-;-;-
CHM;189909;-;-;-;-;-;97.7;10.3;-;-;-
CHM;189910;-;-;-;-;-;112.0;8.3;-;-;-
CHM;189911;-;-;-;-;-;11.0;4.0;-;-;-
CHM;189912;-;-;-;-;-;80.7;-2.8;-;-;-
CHM;190001;-;-;-;-;-;159.2;-2.0;-;-;-
CHM;190002;-;-;-;-;-;141.4;0.4;-;-;-
CHM;190003;-;-;-;-;-;49.9;-3.0;-;-;-
CHM;190004;-;-;-;-;-;62.4;3.7;-;-;-
