stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
RAG;190205;-;-;-;-;-;-;-;-;-;-
RAG;190206;-;-;-;-;-;-;-;-;-;-
RAG;190207;-;-;-;-;-;-;-;-;-;-
RAG;190208;-;-;-;-;-;-;-;-;-;-
RAG;190209;-;-;-;-;-;-;-;-;-;-
RAG;190210;-;-;-;-;-;-;-;-;-;-
RAG;190211;-;-;-;-;-;-;-;-;-;-
RAG;190212;-;-;-;-;-;-;-;-;-;-
RAG;190301;-;-;-;-;-;-;-;-;-;-
RAG;190302;-;-;-;-;-;-;-;-;-;-
RAG;190303;-;-;-;-;-;-;-;-;-;-
RAG;190304;-;-;-;-;-;-;-;-;-;-
RAG;190305;-;-;-;-;-;-;-;-;-;-
RAG;190306;-;-;-;-;-;-;-;-;-;-
RAG;190307;-;-;-;-;-;-;-;-;-;-
RAG;190308;-;-;-;-;-;-;-;-;-;-
RAG;190309;-;-;-;-;-;-;-;-;-;-
RAG;190310;-;-;-;-;-;-;-;-;-;-
RAG;190311;-;-;-;-;-;-;-;-;-;-
RAG;190312;-;-;-;-;-;-;-;-;-;-
RAG;190401;-;-;-;-;-;-;-;-;-;-
RAG;190402;-;-;-;-;-;-;-;-;-;-
RAG;190403;-;-;-;-;-;-;-;-;-;-
RAG;190404;-;-;-;-;-;-;-;-;-;-
RAG;190405;-;-;-;-;-;-;-;-;-;-
RAG;190406;-;-;-;-;-;-;-;-;-;-
RAG;190407;-;-;-;-;-;-;-;-;-;-
RAG;190408;-;-;-;-;-;-;-;-;-;-
RAG;190409;-;-;-;-;-;-;-;-;-;-
RAG;190410;-;-;-;-;-;-;-;-;-;-
RAG;190411;-;-;-;-;-;-;-;-;-;-
RAG;190412;-;-;-;-;-;-;-;-;-;-
RAG;190501;-;-;-;-;-;-;-;-;-;-
RAG;190502;-;-;-;-;-;-;-;-;-;-
RAG;190503;-;-;-;-;-;-;-;-;-;-
RAG;190504;-;-;-;-;-;-;-;-;-;-
RAG;190505;-;-;-;-;-;-;-;-;-;-
RAG;190506;-;-;-;-;-;-;-;-;-;-
RAG;190507;-;-;-;-;-;-;-;-;-;-
RAG;190508;-;-;-;-;-;-;-;-;-;-
RAG;190509;-;-;-;-;-;-;-;-;-;-
RAG;190510;-;-;-;-;-;-;-;-;-;-
RAG;190511;-;-;-;-;-;-;-;-;-;-
RAG;190512;-;-;-;-;-;-;-;-;-;-
RAG;190601;-;-;-;-;-;-;-;-;-;-
RAG;190602;-;-;-;-;-;-;-;-;-;-
RAG;190603;-;-;-;-;-;-;-;-;-;-
RAG;190604;-;-;-;-;-;-;-;-;-;-
RAG;190605;-;-;-;-;-;-;-;-;-;-
RAG;190606;-;-;-;-;-;-;-;-;-;-
RAG;190607;-;-;-;-;-;-;-;-;-;-
RAG;190608;-;-;-;-;-;-;-;-;-;-
RAG;190609;-;-;-;-;-;-;-;-;-;-
RAG;190610;-;-;-;-;-;-;-;-;-;-
RAG;190611;-;-;-;-;-;-;-;-;-;-
RAG;190612;-;-;-;-;-;-;-;-;-;-
RAG;190701;-;-;-;-;-;-;-;-;-;-
RAG;190702;-;-;-;-;-;-;-;-;-;-
RAG;190703;-;-;-;-;-;-;-;-;-;-
RAG;190704;-;-;-;-;-;-;-;-;-;-
RAG;190705;-;-;-;-;-;-;-;-;-;-
RAG;190706;-;-;-;-;-;-;-;-;-;-
RAG;190707;-;-;-;-;-;-;-;-;-;-
RAG;190708;-;-;-;-;-;-;-;-;-;-
RAG;190709;-;-;-;-;-;-;-;-;-;-
RAG;190710;-;-;-;-;-;-;-;-;-;-
RAG;190711;-;-;-;-;-;-;-;-;-;-
