stn;time;gre000m0;hto000m0;nto000m0;prestam0;rre150m0;tre200m0;tre200mn;tre200mx;ure200m0;sre000m0
SBE;198603;151;83;64;832.2;53.3;-1.5;-10.3;7.2;68.5;6849
SBE;198604;118;146;89;828.0;634.4;-0.6;-11.4;8.4;83.2;1723
SBE;198605;200;61;71;838.8;234.6;5.6;-1.0;16.2;80.5;7284
SBE;198606;256;0;49;837.2;64.8;9.9;-0.9;24.2;66.7;11897
SBE;198607;228;0;50;839.5;178.7;11.4;4.0;21.1;71.8;11107
SBE;198608;181;0;56;838.4;250.3;10.7;1.1;20.9;81.5;9615
SBE;198609;143;0;56;840.7;43.5;9.1;1.0;18.2;77.3;8280
SBE;198610;120;0;36;839.7;32.1;5.7;-3.5;20.1;69.0;9973
SBE;198611;68;12;46;840.1;74.8;0.6;-9.2;11.2;66.2;6564
SBE;198612;56;31;49;835.4;42.6;-3.2;-14.5;8.8;58.6;5905
SBE;198701;66;45;45;829.1;31.5;-6.0;-24.9;6.1;58.1;6398
SBE;198702;79;81;66;829.2;124.9;-2.9;-13.3;8.2;69.5;3729
SBE;198703;162;87;54;830.3;68.3;-4.7;-15.3;6.4;58.1;7814
SBE;198704;221;71;50;835.7;121.9;2.4;-10.5;13.9;64.4;10050
SBE;198705;220;2;61;833.0;148.2;4.0;-3.5;16.0;67.3;9476
SBE;198706;187;0;70;837.0;483.3;8.2;-0.4;23.2;75.1;6841
SBE;198707;185;0;71;838.6;482.8;12.4;2.7;23.8;78.7;8295
SBE;198708;180;0;56;838.7;203.8;12.1;0.4;22.4;74.3;9688
SBE;198709;149;0;53;840.8;191.5;11.5;0.9;23.9;70.9;9315
SBE;198710;58;0;78;837.6;326.5;4.9;-2.1;14.0;86.0;3816
SBE;198711;64;10;53;833.0;88.8;0.7;-6.3;14.6;66.6;5551
SBE;198712;51;22;44;836.7;25.1;0.5;-12.1;11.3;60.6;5619
SBE;198801;49;56;65;831.8;226.3;-2.5;-11.0;5.8;74.2;3846
SBE;198802;105;125;53;830.1;121.9;-4.6;-13.6;7.3;60.5;6574
SBE;198803;155;96;68;828.6;74.5;-2.5;-14.2;7.1;63.2;6340
SBE;198804;178;59;73;832.9;85.7;2.6;-5.0;11.7;77.1;5367
SBE;198805;150;0;81;834.3;299.2;6.5;-0.9;16.8;82.6;4578
SBE;198806;207;0;70;834.8;126.7;9.0;0.3;17.2;73.5;7497
SBE;198807;207;0;54;838.7;274.6;12.8;3.6;21.7;74.4;10278
SBE;198808;188;0;53;838.3;276.3;12.2;4.1;22.0;74.9;10067
SBE;198809;153;0;61;839.1;148.0;9.0;1.0;19.0;74.6;9799
SBE;198810;74;0;60;838.4;335.5;6.2;-1.7;18.1;80.6;5943
SBE;198811;71;2;39;836.0;20.9;-0.7;-14.4;10.1;57.8;7724
SBE;198812;54;20;45;836.8;54.6;-0.5;-9.5;8.9;56.5;5805
SBE;198901;73;7;11;845.1;0.2;-0.4;-10.0;10.6;46.2;9503
SBE;198902;87;19;40;836.0;124.5;-0.6;-11.9;10.7;62.1;7202
SBE;198903;162;58;43;834.4;59.6;1.2;-11.9;13.0;64.6;11010
SBE;198904;134;68;86;826.9;388.5;0.7;-8.2;9.2;81.2;2116
SBE;198905;228;23;55;838.3;90.8;6.7;-1.8;16.9;71.0;10713
SBE;198906;241;0;66;836.5;151.5;9.2;-0.2;20.4;66.5;9782
SBE;198907;208;0;68;840.7;92.4;12.9;4.7;22.7;70.4;9426
SBE;198908;202;0;54;838.0;94.9;12.2;1.8;22.5;70.6;11097
SBE;198909;134;0;69;838.9;60.1;8.7;1.7;19.0;77.1;7395
SBE;198910;123;0;31;840.0;19.0;5.6;-2.4;19.2;61.0;10618
SBE;198911;61;11;50;834.0;117.0;-0.3;-11.0;14.0;69.5;5705
SBE;198912;49;4;36;833.8;229.5;-2.2;-12.6;6.7;65.0;6306
SBE;199001;63;10;29;839.1;81.1;-1.9;-11.3;8.5;53.6;7612
SBE;199002;91;68;48;835.6;166.8;-0.9;-11.1;10.8;68.5;6463
SBE;199003;168;51;46;842.4;4.8;1.8;-8.9;14.2;55.7;10545
SBE;199004;175;22;74;830.5;129.4;1.2;-6.2;14.5;74.7;4736
SBE;199005;207;0;64;838.5;93.3;7.7;-1.4;17.2;72.6;8993
SBE;199006;176;0;70;836.3;309.9;9.4;1.7;21.2;78.4;6339
SBE;199007;257;0;43;840.2;66.7;13.4;3.6;24.3;63.5;13142
SBE;199008;205;0;51;841.7;97.8;12.5;4.1;23.1;71.3;11724
SBE;199009;155;0;55;837.7;39.6;8.5;0.2;17.1;70.7;9227
SBE;199010;74;2;71;835.7;214.5;5.5;-4.4;16.8;82.8;4722
SBE;199011;69;20;56;830.7;227.7;-0.5;-11.1;12.6;71.0;5937
SBE;199012;56;58;40;831.6;83.6;-5.6;-15.1;5.8;71.7;5650
SBE;199101;63;61;48;838.8;35.1;-3.4;-14.8;5.6;68.5;5457
SBE;199102;114;68;33;830.9;41.6;-5.9;-21.9;12.1;69.3;8423
SBE;199103;116;51;74;832.4;244.6;1.0;-8.7;10.2;78.8;5089
SBE;199104;197;13;65;832.1;78.7;0.5;-8.9;10.9;70.3;8849
SBE;199105;237;1;69;834.4;40.5;3.6;-4.3;16.8;65.9;8687
SBE;199106;196;0;66;836.4;259.1;8.8;0.7;21.5;74.7;7892
SBE;199107;240;0;51;839.7;106.0;14.2;5.1;26.6;69.5;12174
